TEMPORADA        DIVISIÓN  JORNADA   LOCAL      VISITANTE      GOL LOC   GOL VISIT  
1972-1973           2ª              6 Logroñés    Elche          0-1       0-1      
1972-1973           2ª              6 Rac. Santa  Sevilla        1-0       1-0      
1972-1973           2ª              6 Córdoba     Valladolid     2-3       2-3      
1972-1973           2ª              6 Cádiz       Valencia B     1-1       1-1      
1972-1973           2ª              7 Gimn. Tarr  Cult. Leonesa  4-0       4-0      
1972-1973           2ª              7 Pontevedra  Tenerife       2-1       2-1      
1972-1973           2ª              7 Rayo Valle  Hércules       2-1       2-1      
1972-1973           2ª              7 Mallorca    Murcia         1-0       1-0      
1972-1973           2ª              7 Barakaldo   Sabadell       1-0       1-0      
1972-1973           2ª              7 Sant Andre  Logroñés       1-1       1-1      
1972-1973           2ª              7 Elche       Rac. Santande  1-1       1-1      
1972-1973           2ª              7 Sevilla     Córdoba        3-1       3-1      
1972-1973           2ª              7 Valladolid  Cádiz          1-0       1-0      
1972-1973           2ª              7 Osasuna     Valencia B     1-0       1-0      
1972-1973           2ª              8 Cult. Leon  Osasuna        1-0       1-0      
1972-1973           2ª              8 Tenerife    Gimn. Tarrago  1-0       1-0      
1972-1973           2ª              8 Hércules    Pontevedra     2-1       2-1      
1972-1973           2ª              8 Murcia      Rayo Vallecan  2-1       2-1      
1972-1973           2ª              8 Sabadell    Mallorca       0-1       0-1      
1972-1973           2ª              8 Logroñés    Barakaldo      1-1       1-1      
1972-1973           2ª              8 Rac. Santa  Sant Andreu    1-1       1-1      
1972-1973           2ª              8 Córdoba     Elche          1-2       1-2      
1972-1973           2ª              8 Cádiz       Sevilla        1-1       1-1      
1972-1973           2ª              8 Valencia B  Valladolid     0-0       0-0      
1972-1973           2ª              9 Cult. Leon  Tenerife       0-0       0-0      
1972-1973           2ª              9 Gimn. Tarr  Hércules       1-0       1-0      
1972-1973           2ª              9 Pontevedra  Murcia         0-1       0-1      
1972-1973           2ª              9 Rayo Valle  Sabadell       3-0       3-0      
1972-1973           2ª              9 Mallorca    Logroñés       0-0       0-0      
1972-1973           2ª              9 Barakaldo   Rac. Santande  0-0       0-0      
1972-1973           2ª              9 Sant Andre  Córdoba        1-0       1-0      
1972-1973           2ª              9 Elche       Cádiz          3-0       3-0      
1972-1973           2ª              9 Sevilla     Valencia B     3-0       3-0      
1972-1973           2ª              9 Osasuna     Valladolid     0-0       0-0      
1972-1973           2ª             10 Tenerife    Osasuna        2-0       2-0      
1972-1973           2ª             10 Hércules    Cult. Leonesa  3-1       3-1      
1972-1973           2ª             10 Murcia      Gimn. Tarrago  3-1       3-1      
1972-1973           2ª             10 Sabadell    Pontevedra     3-1       3-1      
1972-1973           2ª             10 Logroñés    Rayo Vallecan  2-0       2-0      
1972-1973           2ª             10 Rac. Santa  Mallorca       1-0       1-0      
1972-1973           2ª             10 Córdoba     Barakaldo      2-0       2-0      
